Name (English),Region of Focus,Language,Entity owner (English),Parent entity (English),X (Twitter) handle,X (Twitter) URL,X (Twitter) Follower #,Facebook page,Facebook URL,Facebook Follower #,Instragram page,Instagram URL,Instagram Follower #,Threads account,Threads URL,Threads Follower #,YouTube account,YouTube URL,YouTube Subscriber #,TikTok account,TikTok URL,TikTok Subscriber #
Tan Jian,Netherlands,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaAmbNL,https://twitter.com/ChinaAmbNL,2907,,,,,,,,,,,,,,,
Chen Xiaodong,South Africa,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaAmbSA,https://twitter.com/ChinaAmbSA,52900,,,,,,,,,,,,,,,
Zhang Jun,UN,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaAmbUN,https://twitter.com/ChinaAmbUN,67800,,,,,,,,,,,,,,,
Chinese Embassy in Samoa,Samoa,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinaandsamoa,https://twitter.com/chinaandsamoa,5368,,,,,,,,,,,,,,,
Chinese Consulate General in Christchurch,New Zealand,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCG_CC,https://twitter.com/ChinaCG_CC,2630,,,,,,,,,,,,,,,
Chinese Consulate General in Frankfurt am Main,Germany,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCG_Ffm,https://twitter.com/ChinaCG_Ffm,2908,,,,,,,,,,,,,,,
Chinese Consulate General in Munich,Germany,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCG_Muc,https://twitter.com/ChinaCG_Muc,3038,,,,,,,,,,,,,,,
Chinese Consulate General in New York,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCG_NYC,https://twitter.com/ChinaCG_NYC,3067,,,,chinacg_nyc,https://www.instagram.com/chinacg_nyc/,71900,,,,,,,,,
Chinese Consulate General in Calgary,Canada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCGCalgary,https://twitter.com/ChinaCGCalgary,3689,,,,,,,,,,,,,,,
Chinese Consulate General in Edinburgh,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinacgedi,https://twitter.com/chinacgedi,3329,,,,,,,,,,,,,,,
Chinese Consulate General in Montréal,Canada,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCGMTL,https://twitter.com/ChinaCGMTL,996,,,,,,,,,,,,,,,
Chinese Consulate General in Almaty,Kazakhstan,Russian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaConsAlmaty,https://twitter.com/ChinaConsAlmaty,4228,,,,chinaconsalmaty,https://www.instagram.com/chinaconsalmaty/,2670,,,,,,,,,
Chinese Consulate General in Chicago,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaConsulate,https://twitter.com/ChinaConsulate,5755,,,,,,,,,,,,,,,
Chinese Consulate General in Istanbul Spokesperson,Türkiye,Turkish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinaconsulist,https://twitter.com/chinaconsulist,9327,,,,,,,,,,,,,,,
Chinese Consulate General in Sydney,Australia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaConSydney,https://twitter.com/ChinaConSydney,9035,,,,,,,,,,,,,,,
China Culture,Canada,English,China Daily Press,Ministry of Culture and Tourism,Chinacultureorg,https://twitter.com/Chinacultureorg,24600,chinacultureorg,https://www.facebook.com/chinacultureorg/,"4,000,000",,,,,,,,,,,,
China Daily,Canada,English,China Daily Press,Central Publicity Department,ChinaDaily,https://twitter.com/ChinaDaily,"4,100,000",chinadaily,https://www.facebook.com/chinadaily,"104,613,175",chinadailynews,https://www.instagram.com/chinadailynews/,"1,300,000",chinadailynews,https://www.threads.net/@chinadailynews,40200.0,ChinaDailyOfficialChannel,https://www.youtube.com/@ChinaDailyOfficialChannel,337000,chinadailyofficial,https://www.tiktok.com/@chinadailyofficial,1300000.0
China Daily EU Bureau,Netherlands,English,China Daily Press,Central Publicity Department,ChinaDaily_EU,https://twitter.com/ChinaDaily_EU,1375,,,,,,,,,,,,,,,
China Daily Life,Canada,English,China Daily Press,Central Publicity Department,ChinaDaily_Life,https://twitter.com/ChinaDaily_Life,993,,,,,,,,,,,,,,,
China Daily Asia,Canada,English,China Daily Press,Central Publicity Department,ChinaDailyAsia,https://twitter.com/ChinaDailyAsia,26900,,,,,,,,,,,,,,,
China Daily Europe,Austria,English,China Daily Press,Central Publicity Department,ChinaDailyEU,https://twitter.com/ChinaDailyEU,10200,,,,,,,,,,,,,,,
China Daily World,Canada,English,China Daily Press,Central Publicity Department,ChinaDailyWorld,https://twitter.com/ChinaDailyWorld,1387,,,,,,,,,,,,,,,
China.com (Japanese),Japan,Japanese,China Media Group (CMG),Central Publicity Department,chinadotcom_JP,https://twitter.com/chinadotcom_JP,38100,,,,,,,,,,,,,,,
Chinese Embassy in Greece,Greece,Greek,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chinaemb_Hellas,https://twitter.com/Chinaemb_Hellas,3940,,,,chinaemb_hellas,https://www.instagram.com/chinaemb_hellas/,1387,,,,,,,,,
Chinese Embassy in South Sudan,South Sudan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmb_Juba,https://twitter.com/ChinaEmb_Juba,1276,,,,,,,,,,,,,,,
Zhao Zhiyuan,Ethiopia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbAddis,https://twitter.com/ChinaEmbAddis,17200,,,,,,,,,,,,,,,
Chinese Embassy in Chile,Chile,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbajada,https://twitter.com/ChinaEmbajada,2479,,,,,,,,,,,,,,,
Chinese Embassy in Dominican Republic,Dominican Republic,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbajadaRD,https://twitter.com/ChinaEmbajadaRD,8233,,,,chinaembajada,https://www.instagram.com/chinaembajada/,6713,,,,,,,,,
Chinese Embassy in Algeria,Algeria,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbAlgeria,https://twitter.com/ChinaEmbAlgeria,15600,profile.php?id=100064477878508,https://www.facebook.com/profile.php?id=100064477878508,32000,,,,,,,,,,,,
Chinese Embassy in Angola,Angola,Portuguese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbAngola,https://twitter.com/ChinaEmbAngola,4160,,,,,,,,,,,,,,,
Chinese Embassy in Antigua and Barbuda,Antigua and Barbuda,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbAntigua,https://twitter.com/ChinaEmbAntigua,1779,ChineseEmbassyinAntiguaandBarbuda,https://www.facebook.com/ChineseEmbassyinAntiguaandBarbuda,113,,,,,,,,,,,,
Chinese Embassy in Argentina,Argentina,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbArg,https://twitter.com/ChinaEmbArg,9958,,,,,,,,,,,,,,,
Chinese Embassy in Maldives,Maldives,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbassy_MV,https://twitter.com/ChinaEmbassy_MV,2849,,,,,,,,,,,,,,,
Chinese Embassy in Malawi,Malawi,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbassy_MW,https://twitter.com/ChinaEmbassy_MW,3752,,,,,,,,,,,,,,,
Chinese Embassy in Albania,Albania,Albanian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaembassyT,https://twitter.com/ChinaembassyT,3555,ChinaembassyT,https://www.facebook.com/ChinaembassyT,11,,,,,,,,,,,,
Chinese Embassy in Austria,Austria,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinaembaustria,https://twitter.com/chinaembaustria,6804,,,,,,,,,,,,,,,
Chinese Embassy in Bahrain,Bahrain,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbBahrain,https://twitter.com/ChinaEmbBahrain,1501,profile.php?id=100090874324645,https://www.facebook.com/profile.php?id=100090874324645,"1,100,000",,,,,,,,,,,,
Chinese Embassy in Rep. of Congo (Brazzaville),Rep. of Congo,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinaembcongobz,https://twitter.com/chinaembcongobz,3161,,,,,,,,,,,,,ambassadechineaucongo,https://www.tiktok.com/@ambassadechineaucongo,35.0
Chinese Embassy in Croatia,Croatia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbCroatia,https://twitter.com/ChinaEmbCroatia,1625,,,,,,,,,,,,,,,
Chinese Embassy in Belgium,Belgium,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmBE,https://twitter.com/ChinaEmBE,1257,,,,,,,,,,,,,,,
Chinese Embassy in Eritrea,Eritrea,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbEritrea,https://twitter.com/ChinaEmbEritrea,5816,,,,,,,,,,,,,,,
Chinese Embassy in Spain,Spain,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbEsp,https://twitter.com/ChinaEmbEsp,27300,,,,,,,,,,,,,,,
Chinese Embassy in Germany,Germany,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbGermany,https://twitter.com/ChinaEmbGermany,7946,,,,chinesische.botschaft,https://www.instagram.com/chinesische.botschaft/,527,,,,,,,,,
Chinese Embassy in Grenada,Grenada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbGrenada,https://twitter.com/ChinaEmbGrenada,6585,,,,,,,,,,,,,,,
Chinese Embassy in Switzerland,Switzerland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbinCH,https://twitter.com/ChinaEmbinCH,7930,,,,,,,,,,,,,,,
Chinese Embassy in Ghana,Ghana,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbinGH,https://twitter.com/ChinaEmbinGH,5437,,,,,,,,,,,,,,,
Chinese Embassy in Mauritania,Mauritania,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbinMR,https://twitter.com/ChinaEmbinMR,3033,profile.php?id=100064680614335,https://www.facebook.com/profile.php?id=100064680614335,4200,,,,,,,,,,,,
Chinese Embassy in New Zealand,New Zealand,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbInNZ,https://twitter.com/ChinaEmbInNZ,1074,ChineseEmbassyInNZ,https://www.facebook.com/ChineseEmbassyInNZ,2100,,,,,,,,,,,,
Chinese Embassy in Rwanda,Rwanda,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbinRW,https://twitter.com/ChinaEmbinRW,2316,,,,,,,,,,,,,,,
Chinese Embassy in Ireland,Ireland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbIreland,https://twitter.com/ChinaEmbIreland,5150,,,,,,,,,,,,,,,
Zhao Xing,Afghanistan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbKabul,https://twitter.com/ChinaEmbKabul,27400,,,,,,,,,,,,,,,
Chinese Embassy in Kazakhstan,Kazakhstan,Russian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbKazakh,https://twitter.com/ChinaEmbKazakh,3126,,,,chinaembkazakh,https://www.instagram.com/chinaembkazakh/,2527,,,,,,,,,
Chinese Embassy in Saudi Arabia,Saudi Arabia,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbKSA,https://twitter.com/ChinaEmbKSA,17000,,,,,,,,,,,,,,,
Chinese Embassy in Kuwait,Kuwait,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbKuwait,https://twitter.com/ChinaEmbKuwait,3651,,,,,,,,,,,,,,,
Chinese Embassy in Lesotho,Lesotho,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbLesotho,https://twitter.com/ChinaEmbLesotho,1240,,,,,,,,,,,,,,,
Chinese Embassy in Malta,Malta,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbMalta,https://twitter.com/ChinaEmbMalta,2356,,,,,,,,,,,,,,,
Chinese Embassy in Philippines,Philippines,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chinaembmanila,https://twitter.com/Chinaembmanila,14600,,,,,,,,,,,,,,,
Chinese Embassy in Namibia,Namibia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbNamibia,https://twitter.com/ChinaEmbNamibia,1890,,,,,,,,,,,,,,,
Chinese Embassy in Netherlands,Netherlands,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbNL,https://twitter.com/ChinaEmbNL,5805,chinaembnl,https://www.facebook.com/chinaembnl,100000,,,,,,,,,,,,
Chinese Embassy in Canada,Canada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbOttawa,https://twitter.com/ChinaEmbOttawa,15500,,,,,,,,,,,,,chineseembassyincanada,https://www.tiktok.com/@chineseembassyincanada,
Chinese Embassy in Peru,Peru,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbPeru,https://twitter.com/ChinaEmbPeru,11900,,,,,,,,,,,,,,,
Chinese Embassy in Poland,Poland,Polish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbPoland,https://twitter.com/ChinaEmbPoland,6868,,,,,,,,,,,,,,,
Chinese Embassy in Portugal,Portugal,Portuguese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbPt,https://twitter.com/ChinaEmbPt,2896,,,,,,,,,,,,,,,
Chinese Embassy in Sri Lanka,Sri Lanka,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbSL,https://twitter.com/ChinaEmbSL,25600,,,,,,,,,,,,,,,
Chinese Embassy in Slovakia,Slovakia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbSVK,https://twitter.com/ChinaEmbSVK,5439,,,,,,,,,,,,,,,
Chinese Embassy in Slovenia,Slovenia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmSlovenia,https://twitter.com/ChinaEmSlovenia,5058,,,,,,,,,,,,,,,
Chinese Embassy in EU,Austria,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEUMission,https://twitter.com/ChinaEUMission,25900,,,,,,,,,,missionofchinatotheeu3586,https://www.youtube.com/@missionofchinatotheeu3586,350,,,
China.org.cn (French),la Francophonie,French,China International Communications Group (CICG),Central Publicity Department,chinafrance,https://twitter.com/chinafrance,23600,,,,china.org.cn_fr,https://www.instagram.com/china.org.cn_fr/,4222,,,,,,,,,
Chinese Embassy in Denmark,Denmark,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaInDenmark,https://twitter.com/ChinaInDenmark,2128,,,,,,,,,,,,,,,
Qian Minjian,Lebanon,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinainLebanon,https://twitter.com/ChinainLebanon,12700,,,,,,,,,,,,,,,
Chinese Consulate General in Vancouver,Canada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinainVan,https://twitter.com/ChinainVan,2168,,,,,,,,,,,,,,,
Chinese Embassy in Iraq,Iraq,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaIraq,https://twitter.com/ChinaIraq,13200,,,,,,,,,,,,,,,
Chinese Embassy in United Nations (NYC),UN,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chinamission2un,https://twitter.com/Chinamission2un,141500,,,,,,,,,,,,,,,
Chinese Embassy in Switzerland (UN Missions),Switzerland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaMissionGva,https://twitter.com/ChinaMissionGva,5316,,,,,,,,,,,,,,,
China.org.cn (English),Canada,English,China International Communications Group (CICG),Central Publicity Department,chinaorgcn,https://twitter.com/chinaorgcn,"1,000,000",chinaorgcn,https://www.facebook.com/chinaorgcn/,"34,162,330",chinaorgcnnews,https://www.instagram.com/chinaorgcnnews/,103,,,,,,,,,
China Plus Podcasts,Canada,English,China Media Group (CMG),Central Publicity Department,ChinaPlusPods,https://twitter.com/ChinaPlusPods,7272,,,,,,,,,,,,,,,
People's Daily China Science,Canada,English,People's Daily Press,Central Committee of the Chinese Communist Party,ChinaScience,https://twitter.com/ChinaScience,"2,000,000",PDChinaScience/,https://www.facebook.com/PDChinaScience/,5800000,,,,,,,,,,,,
State Council Information Office (SCIO),Canada,English,State Council Information Office (SCIO),State Council,chinascio,https://twitter.com/chinascio,55200,,,,,,,china_scio,https://www.threads.net/@china_scio,77.0,ChinaSCIO,https://www.youtube.com/@ChinaSCIO,1740,,,
Wang Xiaojian,India,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaSpox_India,https://twitter.com/ChinaSpox_India,12900,,,,,,,,,,,,,,,
China Today,Canada,English,China International Communications Group (CICG),Central Publicity Department,chinatoday_com,https://twitter.com/ChinaToday_com,471,chinatodayreport,https://www.facebook.com/chinatodayreport/,14315,,,,,,,,,,,,
China Youth Daily,China,Chinese,China Youth Daily Press,Central Committee of the Communist Youth League,ChinaYouthOL,https://twitter.com/ChinaYouthOL,147,,,,,,,,,,,,,,,
Chinese Embassy in Mali,Mali,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chine_au_Mali,https://twitter.com/Chine_au_Mali,4741,AmbChineMali,https://www.facebook.com/AmbChineMali,3900,,,,,,,,,,,,
Chinese Embassy in Guinea,Guinea,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chine_guinee,https://twitter.com/chine_guinee,5545,,,,,,,,,,,,,,,
Chinese Embassy in Sénégal,Senegal,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineAmbassade,https://twitter.com/ChineAmbassade,1481,,,,,,,,,,,,,,,
Chinese Embassy in Djibouti,Djibouti,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineAmbDjibout,https://twitter.com/ChineAmbDjibout,3205,,,,,,,,,,,,,,,
Chinese Embassy in Morocco,Morocco,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineAmbMaroc,https://twitter.com/ChineAmbMaroc,3360,ChineAmbMaroc,https://www.facebook.com/ChineAmbMaroc,1100,,,,,,,,,,,,
Liu Jin,Gambia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseAmb_GM,https://twitter.com/ChineseAmb_GM,1617,,,,,,,,,,,,,,,
Kong Xianhua,India,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseCGMumbai,https://twitter.com/ChineseCGMumbai,1873,,,,,,,,,,,,,,,
Chinese Consulate General in Melbourne,Australia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseCon_Mel,https://twitter.com/ChineseCon_Mel,2881,,,,,,,,,,,,,,,
Chinese Embassy in Fiji,Fiji,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmb_FJ,https://twitter.com/ChineseEmb_FJ,3216,,,,,,,,,,,,,,,
Chinese Embassy in Papua New Guinea,Papua New Guinea,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmb_PNG,https://twitter.com/ChineseEmb_PNG,6257,ChineseEmbPNG,https://www.facebook.com/ChineseEmbPNG,2100,,,,,,,,,,,,
Chinese Embassy in Uganda,Uganda,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmb_Uga,https://twitter.com/ChineseEmb_Uga,10800,Chinese.Emb.Uga,https://www.facebook.com/Chinese.Emb.Uga,1500,,,,,,,,,,,,
Chinese Embassy in Thailand,Thailand,Thai,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chineseembassy1,https://twitter.com/chineseembassy1,977,,,,,,,,,,,,,chineseembassyinthailand,https://www.tiktok.com/@chineseembassyinthailand,
Chinese Embassy in Jordan,Jordan,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseembassyJ,https://twitter.com/ChineseembassyJ,5365,Chinaemb.Jordan,https://www.facebook.com/Chinaemb.Jordan,4900,,,,,,,,,,,,
Chinese Embassy in Hungary,Hungary,Hungarian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmbinHU,https://twitter.com/ChineseEmbinHU,6367,ChinaEmbHungar,https://www.facebook.com/ChinaEmbHungar,0,,,,,,,,,,,,
Chinese Embassy in Montenegro,Montenegro,Serbian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmbinMNE,https://twitter.com/ChineseEmbinMNE,1514,,,,,,,,,,,,,,,
Chinese Embassy in Russia,Russia,Russian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmbinRus,https://twitter.com/ChineseEmbinRus,27200,AmbasadaChineiinRomania,https://www.facebook.com/AmbasadaChineiinRomania,20000,,,,,,,,,,chineseembinrus,https://www.tiktok.com/@chineseembinrus,576.0
Chinese Embassy in United Kingdom (UK),UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmbinUK,https://twitter.com/ChineseEmbinUK,43700,,,,,,,,,,chineseembassyinuk4659,https://www.youtube.com/@chineseembassyinuk4659,297,chineseembassyinuk,https://www.tiktok.com/@chineseembassyinuk,139.0
Chinese Embassy in United States,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmbinUS,https://twitter.com/ChineseEmbinUS,118100,ChineseEmbassyinUS,https://www.facebook.com/ChineseEmbassyinUS,55000,,,,,,,,,,chineseembassyinus,https://www.tiktok.com/@chineseembassyinus,29200.0
Chinese Embassy in Kenya,Kenya,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmbKenya,https://twitter.com/ChineseEmbKenya,15800,,,,,,,,,,,,,,,
Chinese Embassy in Yemen,Yemen,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmbtoYEM,https://twitter.com/ChineseEmbtoYEM,62700,chineseembtoyemen,https://www.facebook.com/chineseembtoyemen,6800,,,,,,,,,,,,
Chinese Embassy in Tanzania,Tanzania,Swahili,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEmbTZ,https://twitter.com/ChineseEmbTZ,15800,,,,,,,,,,,,,,,
Chinese Embassy in Estonia,Estonia,Estonian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseEstonia,https://twitter.com/ChineseEstonia,1409,,,,,,,,,,,,,,,
Chinese Embassy in Liberia,Liberia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseLiberia,https://twitter.com/ChineseLiberia,6373,CNAmbLR,https://www.facebook.com/CNAmbLR,595,,,,,,,,,,,,
Chinese Embassy in Somalia,Somalia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseSomalia,https://twitter.com/ChineseSomalia,12200,chinainsa,https://www.facebook.com/chinainsa,75000,,,,,,,,,,,,
Chinese Embassy in Zimbabwe,Zimbabwe,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseZimbabwe,https://twitter.com/ChineseZimbabwe,17200,,,,,,,,,,,,,,,
Chloé Zhou,la Francophonie,French,China Media Group (CMG),Central Publicity Department,chloezhou21,https://twitter.com/chloezhou21,897,Chloezhoubeijing,https://www.facebook.com/Chloezhoubeijing,1000000,chloezhou21,https://www.instagram.com/chloezhou21/,1668,,,,chloezhou11,https://www.youtube.com/channel/UCCcKEXOzJ4JsjJY8RO9d9WA,930,,,
Chinese Embassy in Egypt,Egypt,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CHN_EGY,https://twitter.com/CHN_EGY,3092,hineseEmbinEgypt,https://www.facebook.com/@ChineseEmbinEgypt,48000,,,,,,,,,,,,
Chinese Consulate General in Osaka,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChnConsul_osaka,https://twitter.com/ChnConsul_osaka,21400,,,,,,,,,,user-kr2ke5sy6b,https://www.youtube.com/@user-kr2ke5sy6b,1700,,,
Chinese Consulate General in Fukuoka,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChnConsulateFuk,https://twitter.com/ChnConsulateFuk,2959,,,,,,,,,,,,,,,
Chinese Consulate General in Johannesburg,South Africa,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChnConsulateJhb,https://twitter.com/ChnConsulateJhb,1324,,,,,,,,,,,,,chnconsulategeneraljhb,https://www.tiktok.com/@chnconsulategeneraljhb,56.0
Chinese Consulate General in Nagasaki,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChnConsulateNag,https://twitter.com/ChnConsulateNag,992,,,,,,,,,,,,,,,
Chinese Consulate General in Nagoya,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChnConsulateNgo,https://twitter.com/ChnConsulateNgo,3339,,,,,,,,,,user-vz3fv8md2p,https://www.youtube.com/@user-vz3fv8md2p,11,,,
Chinese Consulate General in Niigata,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChnConsulateNgt,https://twitter.com/ChnConsulateNgt,3130,,,,,,,,,,,,,,,
Chinese Embassy in Japan,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChnEmbassy_jp,https://twitter.com/ChnEmbassy_jp,102400,profile.php?id=100072261466319,https://www.facebook.com/profile.php?id=100072261466319,189,,,,,,,,,,chnembassy_jp,https://www.tiktok.com/@chnembassy_jp,184.0
Chinese Embassy in Sudan,Sudan,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CHNembinSudan,https://twitter.com/CHNembinSudan,6098,,,,,,,,,,,,,,,
Chinese Embassy in Suriname,Suriname,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CHNEmbSuriname,https://twitter.com/CHNEmbSuriname,1261,,,,,,,,,,,,,,,
Liu Yuyin,UN,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChnMission,https://twitter.com/ChnMission,1755,,,,,,,,,,,,,,,
China International Development Cooperation Agency (CIDCA),Canada,English,China International Development Cooperation Agency (CIDCA),State Council,cidcaofficial,https://twitter.com/cidcaofficial,37900,,,,,,,,,,,,,,,
CRI Italian (Radio Cina Internazionale),Italy,Italian,China Media Group (CMG),Central Publicity Department,cinitalia,https://twitter.com/cinitalia,2228,CriItaliano,https://www.facebook.com/CriItaliano/,939000,,,,,,,CINITALIA,https://www.youtube.com/channel/UC-89ZO9I7TAj9HkZHMllgpg,3920,,,
Yangtze View World,Hubei,Chinese,Hubei Radio & Television Station (HBTV),Hubei Provincial People's Government,cjxwh_hbtv,https://twitter.com/cjxwh_hbtv,1153,,,,,,,,,,,,,,,
CGTN Closer to China,Canada,English,China Media Group (CMG),Central Publicity Department,closertochina,https://twitter.com/closertochina,8795,cgtnclosertochina,https://www.facebook.com/cgtnclosertochina,167000,,,,,,,,,,,,
China Content Center,China,Chinese,"Shanghai Guanchazhe Information Technology Co.,Ltd",Shanghai Academy of Social Sciences (SASS),CNContentCenter,https://twitter.com/CNContentCenter,43200,,,,,,,,,,chinacontentcenter,https://www.youtube.com/@chinacontentcenter,"600,000",,,
China News Service (CNS) Agency,China,Chinese,China News Service (CNS),United Front Work Department,CNS1952,https://twitter.com/CNS1952,494700,ChinaNewsService,https://www.facebook.com/ChinaNewsService,1200000,,,,,,,cnsvideo,https://www.youtube.com/@cnsvideo,"193,000",chinanewsservice,https://www.tiktok.com/@chinanewsservice,32300.0
CRI Polish,Poland,Polish,China Media Group (CMG),Central Publicity Department,CoChwila,https://twitter.com/CoChwila,567,redakcjapolska,https://www.facebook.com/redakcjapolska,388000,,,,,,,ChinyDziendobry,https://www.youtube.com/channel/UC6sQzpQJP-juqHyKLMF-Jyw,896,,,
